SMP-DAT,,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml)
2012,,6.934166667,3.75,13.5,60.66666667,6.711666667,0.57825,30.19583333,85.91666667,0.038333333,82.81818182,52.94166667,113.6083333,1.061083333,10.49841667,0.052,0.002096667,0.0002,0.001,0.00149,0.01,0.047144167,5.543007966,0.49190096,4.27663414,0.933947595,6.357398368,1,0.05,6072,56641.66667
2013,,6.6825,4.416666667,14.30833333,42.25,6.828333333,0.39705,29.92416667,89.16666667,0.0375,55.99166667,52.05833333,94.30833333,1.5982,10.14291667,0.080416667,0.001818333,0.0002,0.001,0.001335,0.01,0.04917,3.276502121,0.650523043,4.376190444,0.815706005,6.180484442,1,0.05,3416.666667,53087.5
2014,,6.832,4.6,14.64,34.4,7.164,0.7154,28.31,96,0.044,70.18,52.72,87.12,1.0492,9.2304,0.0946,0.001494818,0.0002,0.001,0.00122,0.01,0.055331034,4.755668176,0.589024543,4.607799376,0.968427077,6.034982272,1,0.05,4820,93700
2015,,6.635,5.5,17.15,19,7.4925,0.43225,30.5825,96.5,0.045,40.55,50.425,69.425,1.555,11.622,0.067,0.003549839,0.0002,0.001,0.001926991,0.01,0.060694247,5.637418972,0.340219964,3.75913523,0.979511102,5.240377669,1,0.05,17600,179000
2016,,5.70652468,5.928056211,14.29373588,33.80287229,7.120967758,0.274925362,28.57085698,93.1831619,0.033942355,81.50228145,45.406789,24.28251244,2.031740287,11.05414579,0.081083382,0.001156743,0.00314,0.001,0.00061,0.01,0.111695765,-1.861653905,1.053381474,4.890123385,0.587855067,4.93241088,1,0.05,8029.593246,50383.42393
2017,,5.492941838,6.404821909,14.33194381,36.6500872,7.200607478,0.256703472,28.25811171,94.71842043,0.032702692,92.17110757,42.65828539,8.803541196,2.245570361,11.48007292,0.083522069,0.000869664,0.004327273,0.001,0.00149,0.01,0.130038942,-3.570069548,1.175893817,4.973406348,0.506728653,4.275310482,1,0.05,9314.306796,55104.98073
2018,,5.283830055,6.973297572,14.39083882,39.36242741,7.314164195,0.240240942,27.86298856,97.42657063,0.031816547,103.3077679,40.35996875,-6.679629255,2.513390528,11.86969805,0.087245371,0.000637877,0.005581818,0.001,0.0009725,0.01,0.148555494,-5.370540217,1.330768378,5.066897538,0.42651576,3.830182872,1,0.05,10889.03252,58884.77542
2019,,5.131550433,7.505266096,14.74038351,38.71846845,7.424045194,0.238111851,27.61427467,99.855606,0.031433757,110.3430577,38.72036977,-23.32024892,2.788593937,12.16610182,0.094682821,0.000422771,0.006733333,0.001,0.00149,0.01,0.163273951,-6.957757436,1.452255019,5.168643165,0.355610512,3.532477359,1,0.05,12369.31636,62499.79095
2020,,4.935062461,8.053815086,14.91752896,40.53306383,7.511826812,0.216710599,27.22392987,101.4465192,0.030195095,123.0395953,35.55873902,-39.45884964,2.988824056,12.42631216,0.097998903,0.000187481,0.00795,0.001,0.00104,0.01,0.182932272,-8.635689078,1.597683599,5.254190545,0.270463276,2.867951896,1,0.05,13768.11578,68728.89901
2021,,4.737707013,8.555636033,14.8910503,41.73000067,7.600029284,0.199628646,26.83343284,103.5800723,0.029309727,134.9204675,33.0101034,-56.31271204,3.187973328,12.75737518,0.102774558,-2.66831E-05,0.0091,0.001,0.00095,0.01,0.202309103,-10.26668973,1.738393187,5.366298654,0.188655232,2.282376145,1,0.05,15196.54409,76097.45713
2022,,4.534929506,9.09747714,14.97440774,44.62474935,7.706674188,0.188082218,26.41418113,105.5195705,0.028320385,146.0869875,30.78139652,-70.71960221,3.412878874,13.11956481,0.106078948,-0.000237727,0.01035,0.001,0.00149,0.01,0.218302987,-11.90540224,1.872679272,5.494816145,0.11765603,1.885787085,1,0.05,16654.25524,80603.6649
2023,,4.337619049,9.549217041,14.78315567,46.50542235,7.800596335,0.173848339,26.06041572,107.7420997,0.027424291,157.1655915,28.40492361,-86.61935459,3.639085053,13.47093849,0.110819303,-0.00046488,0.01155,0.001,0.001335,0.01,0.235698747,-13.57936719,2.011394688,5.602209295,0.037429602,1.397245668,1,0.05,18102.76098,86411.14315
