STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L25,JIJAN,2012-01-10,99.8, 7.52 ,4,16,10,6.87,0.31,30.23,78,0.03,7.4,57,67,1.11,10.1,0.09,0.001,<0.0002,<0.001,<0.001,<0.01,0.05,5.2,0.63,4.1,1.0,6.6,<1,<0.05,950,41000,100,83,78,70,92,99,87,II
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L25,JIJAN,2012-02-02,89.5,6.62,2,5,12,6.77,0.49,31.26,72,0.03,15.2,46,58,1.05,9.9,0.07,0.001,<0.0002,<0.001,<0.001,<0.01,0.03,5.5,0.35,3.5,0.9,5.5,<1,<0.05,950,48500,97,92,92,63,91,99,89,II
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L25,JIJAN,2012-03-13,83.3,6.33,4,12,39,6.06,0.18,29.72,76,0.03,46.0,41,80,0.86,10.4,0.01,0.001,<0.0002,<0.001,<0.001,<0.01,0.04,4.6,0.46,4.3,1.0,5.1,<1,<0.05,1550,132000,92,83,83,81,77,92,85,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-04-09,82.3,6.43,6,22,158,6.31,0.15,28.03,73,0.03,204.5,34,192,1.17,8.3,0.02,0.003,<0.0002,<0.001,0.002,<0.01,0.05,4.4,1.42,4.6,0.9,3.9,<1,<0.05,5400,92000,91,77,72,85,53,95,79,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-05-08,85.9,6.31,6,29,203,5.83,0.26,31.67,60,0.03,378.8,38,241,0.75,9.1,0.03,0.003,<0.0002,<0.001,0.0013,<0.01,0.07,3.4,0.72,3.5,0.7,4.0,<1,<0.05,2700,15500,94,77,64,73,48,88,75,III
N.SEMBILAN,LANGAT,02 20 378,102 15 250,19,1L25,JIJAN,2012-06-11,115.8,8.47,2,7,4,6.49,0.63,31.96,80,0.04,8.8,45,49,1.20,9.4,0.06,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,5.3,0.42,4.3,0.9,6.8,<1,<0.05,2300,10850,100,92,90,59,95,97,89,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-07-06,82.8,6.05,2,5,36,6.98,0.48,31.99,89,0.04,43.6,65,101,0.96,10.0,0.04,0.003,<0.0002,<0.001,<0.001,<0.01,0.02,5.9,0.22,4.3,0.9,8.0,<1,<0.05,1300,31000,92,92,92,64,78,100,86,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-08-02,85.6,6.55,2,5,31,6.98,1.69,29.25,116,0.05,58.3,64,95,0.97,10.6,0.09,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,7.1,0.14,4.6,0.9,8.2,<1,<0.05,52000,189500,94,92,92,34,81,100,83,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-09-03,98.4,7.27,5,15,21,7.26,1.28,31.36,129,0.06,30.9,83,104,1.39,16.2,0.08,0.004,<0.0002,<0.001,<0.001,<0.01,0.03,6.8,0.67,5.4,1.0,12.1,<1,<0.05,700,28500,100,79,79,42,86,98,81,II
N.SEMBILAN,LANGAT,02 20 387,102 15 266,19,1L25,JIJAN,2012-10-03,90.3,6.91,2,6,127,7.22,0.84,29.16,108,0.05,NA,76,203,1.17,13.4,0.02,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,7.5,0.15,4.3,1.0,7.8,<1,<0.05,414,4850,97,92,91,52,56,99,82,II
