SMP-DAT,,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml)
2013,,5.17,9.666666667,30.3,35,6.84,1.098333333,28.75,144,0.066666667,77.16666667,74.13333333,109.1333333,1.223,12.8402,0.092333333,0.00261,0.001,0.001,0.001,0.01,0.04032,4.11134196,0.708936846,4.836045738,0.768286399,12.05429117,1,0.05,5183.333333,40000
2014,,5.32,9.5,28.3,32,7.09,1.0705,30.855,236.5,0.11,60.675,142.275,174.275,0.97575,105.84275,0.0785,0.002659875,0.001,0.001,0.001,0.01,0.038392296,11.85126722,0.609513773,7.382467327,6.79143641,60.78583478,1,0.05,5300,61666.66667
2015,,5.875,6.5,20.825,16.25,7.2575,1.45875,30.83,185.25,0.085,30.325,102.3,108.8,1.20825,17.97475,0.097,0.003291095,0.001,0.001,0.001,0.01,0.021431978,6.123523702,0.3134337,4.316567287,1.049401232,16.99220723,1,0.0516261,12250,134750
2016,,6.0875,8.5,27.25,93.75,7.05,1.31575,30.335,171.5,0.08,58.5,97.75,211.25,1.14375,15.58225,0.031333333,0.003269433,0.001,0.001,0.001,0.01,0.035,9.74775,0.505,5.13675,1.19325,15.42875,1,0.052491945,7025,65675
2017,,6.494210526,8.842105263,29.52631579,169.7368421,7.248421053,1.558421053,28.25178947,106.2052632,0.048947368,112.76,66.68421053,215.4210526,3.531578947,9.263157895,0.21,0.007,0.001,0.001,0.001,0.01,0.026684211,1.936842105,0.555789474,2.968421053,0.3375,8.421052632,1,0.055406255,9572.222222,108942.1053
2018,,6.367375,6.957446809,24.58333333,227.125,7.159770833,1.796875,28.90289583,150.6050417,0.069604167,121.7515417,90.85416667,317.9791667,4.150930233,10.46808511,0.274,0.010854167,0.001,0.001,0.001,0.01,0.033725,5.483333333,0.46673913,4.308333333,0.802272727,10.55416667,1,0.063895764,17866.66667,139193.75
2019,,7.03836948,8.22562892,21.48078483,145.8010616,7.428424734,1.455376519,26.80149899,84.65841456,0.038057143,95.73655095,51.62863732,148.4459907,5.583606558,7.557113506,0.320609721,0.007619555,0.001,0.001,0.001,-0.008765462,0.009739798,5.863173389,0.307340139,2.44588574,0.659095926,3.073378229,1,0.054646,11654.01101,95725.98792
2020,,7.509051958,8.093548005,22.15196587,199.13134,7.507964747,1.191589407,25.61347589,51.4657852,0.022120863,121.4622469,40.32550277,149.2435913,6.824437597,5.483109939,0.350725883,0.008058648,0.001,0.001,0.001,-0.015634243,0.004954308,4.225671279,0.3277345,2.056910838,0.601412509,-0.051764316,1,1.054646,8378.383658,104237.7827
2021,,7.911735044,7.971157734,22.74073132,247.71171,7.578164135,0.941103692,24.45444068,17.77798883,0.005920521,144.8017887,28.76551935,145.6512569,8.137157919,3.243491061,0.383809431,0.008581112,0.001,0.001,0.001,-0.022676945,-0.00040197,2.601456795,0.338800105,1.651575401,0.536590647,-3.243276948,1,2.054646,5406.726238,112604.2038
2022,,8.351681166,7.766709168,23.22727276,295.0501636,7.649225192,0.714667798,23.26735533,-15.40210502,-0.00997384,167.0528735,17.81472911,144.3024851,9.396947455,1.168482181,0.41558872,0.009078522,0.001,0.001,0.001,-0.029296272,-0.005719936,0.971004593,0.354851613,1.271899136,0.480130549,-6.377766689,1,3.054646,2509.614663,120575.5597
2023,,8.778277096,7.633671178,23.83471176,339.7804851,7.718270955,0.458539223,22.1309048,-49.80598526,-0.026489241,188.2359433,5.930869826,143.5985924,10.73610977,-1.048059853,0.450877109,0.009635292,0.001,0.001,0.001,-0.036084867,-0.010758278,-0.750368415,0.369502328,0.856036133,0.41049002,-9.60829233,1,4.054646,-323.850136,127912.0224
