STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2013-11-30,63.8,5.03,13,41,29,6.92,0.46,27.52,113,0.05,61.8,59,88,0.78,10.4,0.04,0.003,<0.0002,<0.001,<0.001,<0.01,0.03,3.1,0.62,5.4,0.8,6.5,<1,<0.05,4950,33000,70,52,53,64,82,99,68,III,
SELANGOR,LANGAT,02 47 367,101 44 389,19,1L26,BATANG LABU,2013-10-30,69.9,5.25,10,32,61,6.89,1.94,30.27,188,0.09,134.4,95,156,1.47,23.2,0.15,<0.001,<0.0002,<0.001,<0.001,<0.01,<0.01,4.3,0.92,5.1,0.6,23.7,<1,<0.05,4500,39000,78,61,61,31,68,99,66,III,
SELANGOR,LANGAT,02 23 856,101 58 942,19,1L26,BATANG LABU,2013-12-19,67.3,5.23,6,18,15,6.71,0.89,28.46,131,0.06,35.3,68,83,1.42,5.0,0.09,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,4.9,0.59,4.0,0.9,6.0,<1,<0.05,6100,48000,75,77,75,51,89,98,77,II,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2014-05-07,74.3,5.36,10,30,48,7.30,0.44,32.74,145,0.07,83.8,76,124,0.67,9.3,0.08,0.003,<0.0002,<0.001,<0.001,<0.01,0.04,9.9,0.94,4.3,1.1,15.1,<1,<0.05,13100,100000,83,61,64,65,73,98,73.4,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2014-07-07,65.1,4.77,12,34,33,7.60,1.77,31.67,421,0.20,67.6,301,334,1.30,244.0,0.16,0.003,<0.0002,<0.001,<0.001,<0.01,<0.01,14.5,0.28,12.1,14.2,117.0,<1,<0.05,600,33000,72,55,59,33,80,96,64.7,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2014-10-10,71.8,5.54,5,21,20,6.90,1.30,28.93,239,0.11,40.0,116,136,0.69,160.0,0.05,0.002,<0.0002,<0.001,<0.001,<0.01,<0.01,12.1,0.37,8.6,10.6,100.0,<1,<0.05,2200,52000,80,79,73,41,86,99,76.3,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2014-11-03,74.9,5.61,11,29,27,6.56,0.78,30.08,141,0.06,51.3,76,103,1.24,10.1,0.03,0.003,<0.0002,<0.001,0.001,<0.01,0.03,10.9,0.84,4.5,1.2,11.1,<1,<0.05,NC,NC,84,58,65,54,83,97,72.8,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2015-04-05,57.3,4.29,9,33,14,7.17,2.97,30.59,227,0.11,35.1,145,154,1.52,24.1,0.11,0.004,<0.0002,<0.001,<0.001,<0.01,0.01,10.3,<0.01,4.5,1.0,21.8,<1,<0.05,40000,330000,100,-1,93,0,92,1001,171.6,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2015-06-04,77.7,5.69,6,16,18,7.11,0.70,31.85,155,0.07,32.5,78,84,0.99,13.0,0.09,0.003,0.0004,<0.001,<0.001,<0.01,0.02,8.9,0.52,4.0,1.1,11.1,<1,<0.05,700,85000,100,-6,92,0,94,11,51.7,II,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2015-08-07,104.4,7.89,4,15,12,7.59,2.15,29.85,181,0.08,21.1,93,97,0.61,19.8,0.12,0.004,0.0007,<0.001,<0.001,<0.01,0.04,4.8,0.39,4.2,1.0,20.5,<1,0.05,2300,40000,100,-10,89,0,95,2,49.7,II,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2015-10-08,75.9,5.63,7,19,21,7.16,0.01,31.03,178,0.08,32.6,93,100,1.71,15.0,0.07,0.003,<0.0002,<0.001,<0.001,<0.01,0.01,0.5,0.03,4.6,<0.1,14.6,<1,<0.05,6000,84000,100,-6,92,0,93,78,59.8,II,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2016-04-06,75.3,5.57,12,35,42,7.11,0.25,31.45,128,0.06,NA,70,112,2.859,10.163,<0.01,0.003026883,<0.0002,<0.001,<0.001,<0.01,<0.01,8.057,0.449,5.205,0.803,7.462,<1,<0.05,27000,205000,84.3161446,54.61994413,58.05555081,74.355,75.50061967,99.023795,73.33243387,III,
SELANGOR,LANGAT,02 47 214,101 42 099,19,1L26,BATANG LABU,2016-06-08,76.1,5.82,5,17,94,6.99,0.02,29.31,171,0.08,42.6,90,263,0.306,16.166,0.024,0.002050849,<0.0002,<0.001,<0.001,<0.01,<0.01,10.834,0.551,4.742,1.37,14.353,<1,0.084222,200,6600,85.1990838,79.25,76.49,97.98,56.34598088,99.648133,81.70983134,II,
SELANGOR,LANGAT,02 47 214,101 42 099,19,1L26,BATANG LABU,2016-08-18,98.2,7.93,9,35,146,7.17,3.44,30.94,231,0.11,87.2,151,297,0.81,20,0.05,0.006,<0.0002,<0.001,<0.001,<0.01,0.05,11.8,0.38,5.8,1.4,24.5,<1,<0.05,700,35000,100,64.93365799,58.05555081,5.894270685,54.0191681,98.784155,65.00758925,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,1L26,BATANG LABU,2016-10-06,66.0,5.03,8,22,93,6.93,1.55,29.64,156,0.07,45.7,80,173,0.6,16,0.02,0.002,<0.0002,<0.001,<0.001,<0.01,0.02,8.3,0.64,4.8,1.2,15.4,<1,<0.05,200,16100,72.7858,68.75593348,72.03752356,36.42311989,56.64629042,99.488917,67.06805162,III,
SELANGOR,LANGAT,02 47 231,101 45 046,19,,BATANG LABU,2017-04-07,77.4,5.94,9,27,399,7.31,1.73,28.18,150,0.07,223.3,81,81,1.05,10,0.05,0.003,<0.0002,<0.001,<0.001,<0.01,0.03,9.5,0.3,4.2,0.9,12.4,<1,<0.05,7700,126000,86.5908352,64.93365799,66.33240074,33.53318062,31.51271047,98.055595,63.83924505,III,
N.Sembilan,LANGAT,2.787198,101.751546,19,3NLGT009,BATANG LABU,2017-08-07,70.4,5.45,9,23,77,7.15,3.46,28.587,157.2,0.07,40.24,84,161,3.16,13,0.65,0.008,<0.001,<0.001,<0.001,0.002,0.015,2.7,0.28,3.7,0.4,14.3,<1.000,<0.050,<1.000,9900,78.5070672,64.93365799,70.86165832,5.645066914,61.78561907,98.868875,63.54353922,III,
