STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,10-Jan-12,52.9, 3.62 ,5,24,347,6.82,<0.01,29.85,30369,18.73,161.5,18800,19147,0.13,11100.0,0.07,0.003,0.0003,<0.001,<0.001,<0.01,0.07,267.6,0.45,248.5,769.7,5330.0,<1,<0.05,1900,31000,54,79,70,100,36,99,71,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,12-Mar-12,21.9,1.68,5,13,267,6.44,0.59,27.86,7220,3.95,251.5,3710,3977,0.20,2230.0,0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.07,67.7,0.36,60.2,168.0,1120.0,<1,<0.05,1500,97000,12,79,82,60,42,96,58,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,08-May-12,23.9,1.85,6,18,137,6.05,0.56,27.89,4349,2.30,219.9,3390,3527,0.05,1540.0,<0.01,0.001,<0.0002,<0.001,<0.001,<0.01,0.13,39.5,0.32,35.8,100.4,867.4,<1,<0.05,604,5850,14,77,75,61,55,92,59,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,06-Jul-12,38.5,2.62,15,40,298,7.23,0.36,29.29,34752,21.75,109.3,21000,21298,0.02,12700.0,0.04,0.005,<0.0002,<0.001,<0.001,<0.01,0.04,338.6,0.14,296.8,848.0,6369.9,<1,<0.05,58500,710000,33,46,53,68,40,99,53,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,06-Aug-12,40.3,2.69,16,56,38,7.15,0.09,29.40,38412,24.30,60.5,24300,24338,0.04,13500.0,0.04,0.005,<0.0002,<0.001,<0.001,<0.01,0.04,3160.0,3.15,322.4,888.8,6750.0,<1,<0.05,198,17300,35,43,41,91,77,99,60,III
SELANGOR,LANGAT,02 46 658,101 45 126,19,1L01,LANGAT,05-Sep-12,53.1,3.57,8,29,80,7.14,0.24,29.56,35637,22.35,57.5,20900,20980,0.04,12400.0,0.05,0.005,<0.0002,<0.001,<0.001,<0.01,0.07,339.9,0.38,312.0,751.1,6030.0,<1,<0.05,1250,22200,54,69,64,75,61,99,68,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L01,LANGAT,07-Nov-12,67.7,5.41,13,40,1,4.52,0.46,26.88,184,0.09,0.2,99,100,0.68,8.1,0.01,0.001,<0.0002,<0.001,<0.001,<0.01,0.17,9.6,0.07,4.7,3.8,7.5,<1,<0.05,0,1300,75,52,53,65,97,42,65,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L02,LANGAT,10-Jan-12,28.9, 2.23 ,6,26,80,6.53,1.73,28.73,198,0.10,114.8,100,180,1.33,16.0,0.15,0.007,<0.0002,<0.001,<0.001,<0.01,0.08,17.7,0.59,7.1,3.1,17.4,<1,<0.05,1400,31000,20,77,67,34,61,97,56,III
SELANGOR,LANGAT,02 46 661,101 45 119,19,1L02,LANGAT,02-Feb-12,51.4,3.90,3,17,26,6.42,0.92,29.80,114,0.05,NA,69,95,1.13,9.3,0.04,0.004,<0.0002,<0.001,<0.001,<0.01,0.07,11.5,0.93,4.5,2.0,7.8,<1,<0.05,1250,36000,52,88,76,50,83,96,73,III
SELANGOR,LANGAT,02 23 856,101 58 942,19,1L02,LANGAT,14-Mar-12,38.7,3.11,6,22,84,6.38,0.61,26.52,122,0.06,129.2,73,157,0.65,15.0,0.04,0.004,<0.0002,<0.001,0.001,<0.01,0.04,12.1,1.19,7.6,12.7,11.6,<1,<0.05,2200,89000,33,77,72,59,59,96,63,III
