STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L14,LUI,09-Jan-12,100.1, 8.19 ,2,5,8,7.04,0.12,25.56,40,0.02,3.9,23,31,0.30,6.0,0.09,0.001,<0.0002,<0.001,<0.001,<0.01,0.04,3.2,0.44,1.9,0.9,4.1,<1,<0.05,9300,84000,100,92,92,88,93,99,94,I
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L14,LUI,13-Mar-12,91.2,7.42,3,12,29,6.66,0.02,25.89,37,0.02,13.6,20,49,0.36,1.7,<0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.02,2.4,0.41,1.7,0.8,3.1,<1,<0.05,4750,77500,97,88,83,99,82,98,91,II
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L14,LUI,03-May-12,101.0,8.31,8,33,50,6.46,0.02,25.27,34,0.01,45.2,22,72,0.74,1.2,0.02,0.005,<0.0002,<0.001,<0.001,<0.01,0.04,2.6,0.47,2.2,0.7,3.9,<1,<0.05,4800,79000,100,69,60,98,72,97,82,II
SELANGOR,LANGAT,02 32 302,102 02 168,19,1L14,LUI,05-Jul-12,98.5,8.19,5,12,4,6.85,0.22,24.69,40,0.02,3.6,24,28,0.27,6.0,0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.02,3.3,0.25,2.2,0.9,4.1,<1,<0.05,7850,54000,100,79,83,77,95,99,89,II
SELANGOR,LANGAT,02 32 302,102 02 168,19,1L14,LUI,03-Sep-12,97.3,7.90,8,24,2,7.01,<0.01,26.02,41,0.02,0.6,23,25,0.34,5.0,0.02,0.002,<0.0002,<0.001,<0.001,<0.01,0.03,2.9,0.59,1.7,1.0,4.3,<1,<0.05,3550,60500,100,69,70,100,96,99,89,II
SELANGOR,LANGAT,02 32 302,102 02 168,19,1L14,LUI,07-Nov-12,101.1,8.34,2,6,26,6.80,0.03,25.06,37,0.02,11.0,21,47,0.44,4.0,<0.01,0.001,<0.0002,<0.001,<0.001,<0.01,0.05,2.6,0.43,1.7,0.8,2.9,<1,<0.05,0,0,100,92,91,98,83,99,94,I
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,2013/1/6,91.8,7.59,2,5,3,6.81,0.09,24.93,36,0.02,5.5,21,24,0.34,2.0,0.14,0.002,<0.0002,<0.001,<0.001,<0.01,0.06,2.3,0.42,0.6,0.6,1.0,<1,<0.05,5650,163000,98,92,92,91,96,99,95,I
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,2013/3/6,100.2,8.37,4,9,5,6.54,<0.01,27.61,40,0.02,2.7,23,28,0.30,2.4,0.03,0.001,<0.0002,<0.001,<0.001,<0.01,0.02,2.4,0.08,2.2,0.9,5.0,<1,<0.05,1200,17700,100,83,87,100,95,97,94,I
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,2013/5/12,112.4,8.23,5,14,5,6.71,0.02,25.39,37,0.02,9.1,20,25,0.27,4.0,0.04,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,10.4,0.44,4.4,1.5,9.7,<1,<0.05,14200,52000,100,79,80,98,95,98,92,II
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,2013/7/5,98.5,8.10,8,26,1,7.37,<0.01,25.27,41,0.02,3.1,24,25,0.41,2.0,0.05,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,0.6,0.55,1.9,0.4,3.6,<1,<0.05,5700,41500,100,69,67,100,97,98,88,II
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,2013/9/4,101.7,8.45,3,11,15,6.73,0.02,24.61,39,0.02,37.5,22,37,0.33,2.0,0.03,0.002,<0.0002,<0.001,<0.001,<0.01,0.05,0.6,0.69,2.1,0.4,2.9,<1,<0.05,6700,73500,100,88,84,99,89,99,93,I
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L14,LUI,2013/11/6,94.5,7.89,2,6,2,6.70,0.04,24.43,44,0.02,4.5,24,26,0.31,2.0,0.04,0.002,<0.0002,<0.001,<0.001,<0.01,0.04,1.1,0.49,1.8,0.4,3.7,<1,<0.05,6500,30000,100,92,91,96,96,98,96,I
SELANGOR,LANGAT,03 10 426,101 52 155,19,1L14,LUI,05-Feb-14,93.4,7.67,3,6,2,7.69,0.08,25.17,45,0.02,3.1,24,26,0.25,2.0,0.07,<0.001,<0.0002,<0.001,<0.001,<0.01,0.03,2.7,0.33,1.4,0.7,3.7,<1,<0.05,2100,18950,100,88,91,93,96,95,93.9,I
