SMP-DAT,,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml)
2012,,7.366666667,9.916666667,28.91666667,21.66666667,7.786666667,3.981772727,31.0125,409.6666667,0.193333333,13.8,234.6833333,256.35,1.397166667,50.81741667,0.361083333,0.0120175,0.0002,0.001,0.001,0.01,0.061275,11.12929864,0.808897707,6.217238384,1.256033701,58.46178813,1,0.05,60075,882750
2013,,7.354166667,11.25,34.41666667,16.08333333,7.679166667,4.730741667,30.9975,403.1666667,0.185833333,14.8,213.0833333,229.1666667,3.019975,31.75123333,0.420916667,0.010060833,0.0002,0.001,0.001,0.01,0.053941667,4.547235842,0.784108863,6.198774494,0.722153783,41.41822713,1,0.05,44254.54545,307954.5455
2014,,6.5025,12.75,40.4,18.41666667,7.340833333,6.706333333,29.90166667,388.75,0.184166667,32.06666667,236.7833333,247.3666667,1.757909091,27.84805,0.321416667,0.008519638,0.0002,0.001,0.001,0.01,0.043575738,12.10498706,0.608736472,6.851023571,1.249554876,43.87127501,1,0.05,94500,59932250
2015,,6.040833333,17.09166667,56.35,29.66666667,7.6175,5.006666667,29.29833333,318.9166667,0.15,61.24166667,207.8666667,237.5333333,0.622272727,28.92975,0.2233,0.01121365,0.0002,0.001,0.001,0.01,0.041240714,9.352575067,0.448513107,5.541481127,0.891314306,29.460856,1,0.05,133625,433707583.3
2016,,6.255833333,15.16666667,41.66666667,28.41666667,7.536666667,6.281583333,30.44666667,354.75,0.1675,28.13636364,233.4166667,261.8333333,1.8397,23.46975,0.246727273,0.007845502,0.0002,0.001,0.001,0.01,0.02662454,12.0215,0.350636364,6.874333333,1.31625,40.47833333,1,0.05,28216.66667,723333.3333
2017,,6.29,9.6,30.3,52.7,7.66,4.817,29.1311,427.79,0.206,29.464,246.9,299.6,1.305,24.9,0.522,0.0119,0.0002,0.001,0.001,0.01,0.0418,6.55,0.557,5.32,0.71,52.94,1,0.05,22740,212200
2018,,6.608833333,11.83333333,39.08333333,57.25,7.822916667,2.860909091,29.64241667,511.5975,0.246166667,36.98958333,361.4166667,418.6666667,1.431,25.91666667,0.728,0.014083333,0.0002,0.001,0.001,0.01,0.0497,6.033333333,0.526,4.85,0.691666667,77.125,1,0.05,37908.33333,452416.6667
2019,,5.900410287,19.95050337,47.99645073,59.85702154,7.859813518,7.803611496,30.67889776,308.2168708,0.145005027,18.41768113,185.9981554,242.4401548,1.621623964,23.29580723,0.503963975,0.014784211,0.001244018,0.001,0.001,0.01,0.076186247,8.746984279,0.50738093,4.033762739,0.451286647,62.36733643,1,0.08925,37785.41301,350537.5079
2020,,5.766344649,21.46571566,48.89812948,67.06639611,7.97726502,7.665038032,30.95086899,291.0431054,0.136601519,16.79917683,179.6951959,242.9439107,1.820843431,21.80095481,0.605032488,0.016686309,0.0015395,0.001,0.001,0.01,0.077169784,7.392008396,0.519845759,3.466871487,0.23874126,68.10945879,1,0.0875364,36585.87606,319808.8802
2021,,6.554136798,22.83844686,49.90941857,74.69276862,8.094188112,7.514863235,31.19700583,270.3755967,0.126535779,15.9416311,171.277803,242.6725778,2.034756348,19.81356079,0.716175989,0.018210582,0.001834442,0.001,0.001,0.01,0.078432413,6.008109353,0.542419226,2.870986386,0.019371558,77.82910627,1,0.158234,35470.28799,318057.6273
2022,,12.04603352,24.51138001,50.97564411,81.28476021,8.203003927,7.457699683,31.55573404,258.0277692,0.120561203,15.04134901,166.5302891,243.8411192,2.208137846,18.39130671,0.797913904,0.019995776,0.002130117,0.001,0.001,0.01,0.078389368,4.745482097,0.542241554,2.338133373,-0.188271745,83.56821969,1,0.0895,33883.0227,281657.6969
2023,,13.25354128,26.19950244,52.42125031,88.89721373,8.32076137,7.432518948,31.8381007,242.7907241,0.113140301,13.69037043,160.5527824,245.0677186,2.42135711,16.87069837,0.906672662,0.021813168,0.002425802,0.001,0.001,0.01,0.079735976,3.446561485,0.557886036,1.78507755,-0.399405804,90.45587631,1,0.0869205,32711.00487,268349.9424
