STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
N.SEMBILAN,LANGAT,02 26 565,102 06 876,19,1L23,BATANG NILAI,2012-01-10,78.2, 5.82 ,11,28,14,7.81,5.88,30.82,456,0.22,9.4,324,338,0.31,140.0,0.69,0.015,0.0002,<0.001,<0.001,<0.01,0.07,12.1,0.59,7.3,2.0,129.1,<1,<0.05,24950,190500,87,58,65,0,89,94,66,III
N.SEMBILAN,LANGAT,02 26 565,102 06 876,19,1L23,BATANG NILAI,2012-02-02,125.0,9.15,9,28,7,7.95,<0.01,31.81,418,0.20,8.1,257,264,2.85,73.0,0.40,0.012,<0.0002,<0.001,<0.001,<0.01,0.06,12.6,0.20,6.8,1.2,71.0,<1,<0.05,276500,1560000,100,65,65,100,93,92,86,II
N.SEMBILAN,LANGAT,02 26 565,102 06 876,19,1L23,BATANG NILAI,2012-03-13,43.2,3.20,9,31,8,7.21,1.90,31.08,357,0.17,15.1,181,189,0.02,21.1,0.23,0.013,<0.0002,<0.001,<0.001,<0.01,0.06,8.1,1.29,5.2,1.1,53.3,<1,<0.05,106000,5900000,39,65,62,31,93,99,62,III
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-04-09,114.7,8.40,2,5,20,7.77,0.24,31.76,280,0.13,22.3,157,177,1.03,21.0,0.36,0.010,<0.0002,<0.001,<0.001,<0.01,0.05,11.4,0.94,4.7,1.3,31.0,<1,<0.05,6100,135500,100,92,92,75,86,94,91,II
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-05-08,154.3,11.14,12,47,12,8.50,3.40,32.68,325,0.15,15.0,207,219,0.90,19.6,0.36,0.016,<0.0002,<0.001,<0.001,<0.01,0.05,6.9,1.35,4.3,0.9,48.7,<1,<0.05,39000,365000,100,55,47,6,91,82,65,III
N.SEMBILAN,LANGAT,02 17 759,102 15 633,19,1L23,BATANG NILAI,2012-06-11,113.3,8.24,17,41,18,7.85,8.34,32.17,480,0.23,23.9,282,300,1.22,24.0,0.52,0.016,<0.0002,<0.001,<0.001,<0.01,0.08,11.7,1.47,7.0,1.3,91.3,<1,<0.05,13800,273500,100,41,52,0,87,93,63,III
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-07-06,119.0,8.64,12,34,14,8.28,4.50,32.32,441,0.21,7.3,262,276,1.61,29.3,0.42,0.013,<0.0002,<0.001,<0.001,<0.01,0.03,12.5,0.27,7.6,1.1,75.9,<1,<0.05,25750,335000,100,55,59,0,89,86,67,III
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-08-02,93.7,7.08,12,33,11,7.63,6.21,29.95,487,0.23,13.5,256,267,2.53,73.0,0.14,0.008,<0.0002,<0.001,<0.001,<0.01,0.08,10.9,0.36,7.6,1.0,72.1,<1,<0.05,108000,630000,100,55,60,0,91,95,68,III
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-09-03,105.3,7.80,2,5,5,7.94,0.33,31.12,536,0.26,5.9,311,316,3.65,135.0,0.59,0.015,<0.0002,<0.001,<0.001,<0.01,0.04,10.5,0.73,8.5,1.4,81.2,<1,<0.05,11800,310000,100,92,92,70,95,92,91,II
N.SEMBILAN,LANGAT,02 17 762,102 15 646,19,1L23,BATANG NILAI,2012-10-03,46.1,3.53,19,51,106,8.01,7.83,28.81,753,0.34,NA,380,486,0.41,31.8,0.41,0.016,<0.0002,<0.001,<0.001,<0.01,0.04,13.4,0.14,7.2,1.6,11.6,<1,<0.05,56500,272500,44,36,44,0,58,91,44,IV
