STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
Selangor,LANGAT,2.91837,101.86272,19,2BLGT014,RINCHING,2017-12-07,86.3,6.54,6,21,25,6.86,2.09,29.843,109.9,0.05,30.08,63,88,1.72,9,0.1,0.011,<0.001,<0.001,<0.001,0.001,0.012,0.3,0.34,2.8,<0.1000,5.2,<1.000,<0.050,30000,104000,94.4885706,77.04376321,73.23136262,27.93113836,83.58961808,99.242468,76.61592437,II
Selangor,LANGAT,2.91837,101.86272,19,2BLGT014,RINCHING,2017-10-06,90.7,6.86,4,13,32,7.31,0.92,29.991,123.5,0.06,14.37,62,94,7.69,10,0.41,0.006,<0.001,<0.001,<0.001,<0.001,0.009,1,0.7,4.2,0.2,8.8,<1.000,<0.050,5000,96000,97.1711714,83.48,81.81,50.08622447,80.13405701,98.055595,82.4295119,II
Selangor,LANGAT,3.173894,101.869146,19,2BLGT015,RINCHING,2017-10-06,99.6,7.77,5,15,10,7.76,0.08,28.175,37.8,0.02,6.2,22,32,1.59,1,0.07,0.002,<0.001,<0.001,<0.001,<0.001,0.005,0.1,0.56,0.7,<0.1000,1.7,<1.000,<0.050,2600,55000,100,79.25,79.15,92.1,91.62683962,94.10752,89.48969674,II
Selangor,LANGAT,3.173894,101.869146,19,2BLGT015,RINCHING,2017-08-02,96.4,7.68,6,15,7,7.46,0.03,26.976,42.2,0.02,6.76,25,32,1.8,1,0.16,0.002,<0.001,<0.001,<0.001,<0.001,0.009,0.8,0.53,0.7,0.2,1.9,<1.000,<0.050,2600,37000,100,77.04376321,79.15,97.35,93.3437585,97.01182,90.48123477,II
Selangor,LANGAT,3.173894,101.869146,19,2BLGT015,RINCHING,2017-12-07,103.5,8.06,3,12,11,6.97,0.05,28.292,38.4,0.02,4.5,24,35,1.54,1,<0.010,0.002,<0.001,<0.001,<0.001,<0.001,0.007,<0.100,0.28,0.9,<0.1000,2,<1.000,<0.050,1900,36000,100,87.71,83.14,95.25,91.06289964,99.600397,92.77691158,II
Selangor,LANGAT,2.91837,101.86272,19,2BLGT014,RINCHING,2017-08-07,61.4,4.55,11,26,6,7.01,2.24,31.1,131.4,0.06,12.49,68,74,0.9,10,0.49,0.018,<0.001,<0.001,<0.001,<0.001,0.015,9.1,0.41,4.9,1.2,10.6,<1.000,<0.050,600,70000,66.4086912,57.87603808,67.43912732,24.84367099,93.9245259,99.326395,67.07026186,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-02-09,92.797,7.351,5,21,252,7.115,0.78,27.318,103.825,0.047,157.614,52,304,2.14,7,0.12,0.01,<0.0010,<0.001,<0.001,0.004,0.016,2.4,0.43,3.3,0.6,6.1,<1.000,<0.050,500,104000,100,79,73,54,44,99,76,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-02-09,105.619,8.463,4,15,8,7.854,0.03,26.688,40.793,0.018,6.421,22,30,1.4,2,0.06,0.002,<0.0010,<0.001,<0.001,<0.001,0.01,0.5,0.27,1.8,0.3,2.7,<1.000,<0.050,300,50000,100,83,79,97,93,93,91,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-04-06,86.243,6.345,4,13,112,6.781,0.79,31.567,113.169,0.051,59.172,65,177,2.84,12,0.12,0.008,<0.0010,<0.001,<0.001,0.004,<0.100,7,0.22,4.7,0.9,8.4,<1.000,<0.050,80000,940000,94,83,82,54,58,99,79,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-04-09,105.839,8.158,4,14,11,7.491,0.02,28.87,44.413,0.019,3.71,22,33,0.44,3,0.12,0.003,<0.0010,<0.001,<0.001,<0.001,<0.100,2.1,0.37,2,0.6,3.6,<1.000,<0.050,4100,53000,100,83,80,98,91,97,91,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-06-08,72.653,5.523,7,25,20,6.914,1.12,29.659,135.068,0.062,21.971,61,81,3.48,9,0.22,0.009,<0.0010,<0.001,<0.001,0.001,0.011,1.1,0.45,4.3,0.1,7.2,<1.000,<0.050,76000,700000,81,73,69,45,86,99,75,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-06-12,100.955,8.078,4,16,27,7.646,0.03,26.77,48.939,0.021,4.859,23,50,1.37,1,0.06,0.002,<0.0010,<0.001,<0.001,<0.001,0.007,0.2,0.39,1.1,<0.1000,2.5,<1.000,<0.050,2300,62000,100,83,78,97,83,95,89,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-08-08,99.147,7.964,3,10,10,7.536,0.03,26.551,41.541,0.018,5.851,199,209,1.44,2,0.11,0.003,<0.0010,<0.001,<0.001,<0.001,0.01,0.2,0.56,1.2,<0.1000,3,<1.000,<0.050,3000,49000,100,88,86,97,92,96,93,I
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-08-08,84.705,6.496,6,22,39,7.009,2.4,29.151,139.416,0.064,26.65,232,271,<0.010,13,0.22,0.01,<0.0010,<0.001,<0.001,<0.001,0.014,1,0.26,4.5,0.1,11.5,<1.000,<0.050,9000,440000,93,77,72,22,77,99,74,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-10-05,75.686,5.762,7,25,44,6.952,1.75,29.579,129.695,0.06,40.66,66,110,2.32,11,0.35,0.016,<0.0010,<0.001,0.001,0.001,0.015,5.7,0.66,5.1,0.7,9.1,<1.000,<0.050,500000,4900000,85,73,69,33,75,100,73,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-10-08,105.761,8.367,4,14,16,7.245,0.09,27.406,42.359,0.018,10.636,23,39,1.26,<1.000,0.07,0.002,<0.0010,<0.001,0.001,<0.001,0.014,1.7,0.56,2.2,0.5,3.1,<1.000,<0.050,13000,36000,100,83,80,91,88,98,90,II
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,2.91837,101.86272,19,1L13,RINCHING,2018-12-07,93.113,7.455,10,26,2130,6.737,0.59,26.729,50.003,0.022,1209.671,28,2158,1.21,3,<0.010,0.006,<0.0010,<0.001,0.001,0.014,0.028,3.7,0.37,2.4,0.3,2.6,<1.000,<0.050,14400,166000,100,61,67,60,0,99,65,III
SELANGOR/PUTRAJAYA/N.SEMBILAN,LANGAT,3.173894,101.869146,19,1L14,RINCHING,2018-12-11,97.649,7.796,4,11,37,7.109,0.15,26.897,43.719,0.019,25.803,20,57,2.11,1,0.12,0.002,<0.0010,<0.001,0.001,0.001,0.01,1.6,0.44,2.2,0.5,2.6,<1.000,<0.050,3300,32000,100,83,84,85,78,99,88,II
