STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,02 27 785,102 03 324,19,1L11,SEMENYIH,2012-01-09,101.2, 8.10 ,2,5,16,7.25,0.12,26.72,30,0.01,16.1,20,36,0.24,6.0,0.07,0.004,<0.0002,<0.001,<0.001,<0.01,0.04,2.0,0.48,2.1,0.5,4.9,<1,<0.05,3800,37500,100,92,92,88,88,98,93,I
SELANGOR,LANGAT,02 27 785,102 03 324,19,1L11,SEMENYIH,2012-03-13,90.9,7.05,3,11,37,6.73,0.04,28.53,33,0.01,23.3,17,54,0.36,2.0,<0.01,0.002,<0.0002,<0.001,<0.001,<0.01,0.02,2.4,0.45,1.9,0.5,3.2,<1,<0.05,6950,52000,97,88,84,97,78,99,90,II
SELANGOR,LANGAT,02 27 785,102 03 324,19,1L11,SEMENYIH,2012-05-03,98.4,7.70,7,26,64,6.41,0.05,28.07,28,0.01,65.1,16,80,0.65,1.9,<0.01,0.006,<0.0002,<0.001,<0.001,<0.01,0.03,2.1,0.47,2.3,0.5,3.8,<1,<0.05,4200,54000,100,73,67,96,66,96,83,II
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L11,SEMENYIH,2012-07-05,98.9,7.89,6,22,87,7.15,0.24,26.94,34,0.01,65.4,20,107,0.75,4.0,<0.01,0.006,<0.0002,<0.001,<0.001,<0.01,0.03,2.0,0.29,2.3,0.5,3.6,<1,<0.05,4900,57500,100,77,72,75,58,99,81,II
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L11,SEMENYIH,2012-09-03,99.7,7.88,3,11,12,7.31,0.08,27.40,36,0.02,12.8,20,32,0.42,5.0,0.01,0.007,<0.0002,<0.001,<0.001,<0.01,0.03,1.8,0.76,2.2,0.4,4.1,<1,<0.05,5950,51500,100,88,84,93,91,98,92,II
SELANGOR,LANGAT,02 27 397,1012 04 281,19,1L11,SEMENYIH,2012-11-07,99.9,7.97,2,8,61,7.08,0.07,26.92,30,0.01,69.2,17,78,0.54,4.0,<0.01,0.005,<0.0002,<0.001,<0.001,<0.01,0.05,1.8,0.55,2.0,0.4,2.7,<1,<0.05,4950,30500,100,92,88,93,68,99,90,II
SELANGOR,LANGAT,02 53 549,101 05 016,19,1L09,SEMENYIH,2013-11-30,56.9,4.54,6,19,36,6.79,0.49,26.92,100,0.05,72.9,54,90,0.91,4.9,0.19,0.004,<0.0002,<0.001,<0.001,<0.01,0.02,2.3,0.89,4.2,0.5,7.3,<1,<0.05,4400,34500,60,77,74,64,78,99,74,III
SELANGOR,LANGAT,02 53 549,101 45 009,19,1L09,SEMENYIH,2013-10-30,79.4,6.33,8,25,29,6.78,0.57,26.97,116,0.05,62.2,58,87,1.39,7.0,0.09,<0.001,<0.0002,<0.001,<0.001,<0.01,<0.01,4.4,0.93,4.4,0.7,9.6,<1,<0.05,1850,12700,89,69,69,61,82,99,78,II
SELANGOR,LANGAT,03 00 529,101 52 135,19,1L09,SEMENYIH,2013-12-19,63.6,5.07,5,17,24,6.80,0.71,27.00,118,0.05,55.9,62,86,2.49,6.9,0.17,0.007,<0.0002,<0.001,<0.001,<0.01,0.07,3.8,0.75,4.3,0.8,9.4,<1,<0.05,5950,39500,70,79,77,56,84,99,76,III
SELANGOR,LANGAT,03 00 529,101 52 135,19,1L11,SEMENYIH,2013-01-06,92.3,7.29,2,5,102,6.75,0.20,27.52,34,0.01,66.8,20,122,0.54,1.8,0.11,0.004,<0.0002,<0.001,<0.001,<0.01,0.10,1.6,0.70,1.1,0.3,0.6,<1,<0.05,8900,130500,100,92,92,80,59,99,87,II
SELANGOR,LANGAT,03 00 529,101 52 135,19,1L11,SEMENYIH,2013-03-07,99.4,7.98,5,15,64,7.15,0.11,26.57,60,0.03,42.5,33,97,0.40,1.6,<0.01,0.006,<0.0002,<0.001,<0.001,<0.01,0.02,1.7,0.31,2.6,0.6,4.2,<1,<0.05,NC,NC,100,79,79,89,66,99,86,II
SELANGOR,LANGAT,03 00 529,101 52 135,19,1L11,SEMENYIH,2013-05-12,112.5,8.76,3,7,27,6.81,0.05,28.21,32,0.01,58.7,18,45,0.28,3.0,<0.01,0.005,<0.0002,<0.001,<0.001,<0.01,0.04,0.8,0.53,2.8,0.4,3.4,<1,<0.05,1450,37000,100,88,90,96,83,99,92,II
