ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
1,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.268,0.087,0.131,0.129,0.536,0,0.79059,0.771,0.774,0.78651,0.597,0.128,0.00003,6.60E-07,0.001,0.82221,0.01571,0.01998,0.02867,0.0124,0.00166,0.04639,0.07906,0.08468,0.141,0.497,0.29603,0.789626084
2,2.777683,101.751983,LANGAT,12/3/2012,2012,III,0.079,0.087,0.064,0.099,0.468,0.04,0.18789,0.163,0.152,0.16262,0.417,0.199,0.00003,2.06E-06,0.001,0.16513,0,0.01307,0.01593,0.0124,0.00166,0.04639,0.08235,0.02142,0.111,0.12,0.0646,0.16591187
3,2.777683,101.751983,LANGAT,8/5/2012,2012,III,0.095,0.109,0.094,0.051,0.399,0.037,0.11314,0.095,0.139,0.14411,0.419,0.174,0.00001,1.25E-07,0,0.11401,0,0.00131,0.01593,0.0124,0.00166,0.04639,0.1456,0.01248,0.099,0.071,0.03857,0.128489017
4,2.777683,101.751983,LANGAT,6/7/2012,2012,III,0.17,0.304,0.228,0.11,0.609,0.024,0.90471,0.895,0.864,0.87497,0.546,0.087,0.00101,1.51E-05,0,0.94074,0.00943,0.04146,0.01593,0.0124,0.00166,0.04639,0.04666,0.10714,0.04,0.593,0.32615,0.943695199
5,2.777683,101.751983,LANGAT,6/8/2012,2012,III,0.177,0.326,0.325,0.014,0.594,0.005,1,1,1,1,0.556,0.048,0,3.68E-07,0,1,0.008,0.0338,0.01593,0.0124,0.00166,0.04639,0.04573,1,1,0.645,0.34184,1
6,2.777633,101.7521,LANGAT,5/9/2012,2012,III,0.263,0.152,0.161,0.029,0.593,0.016,0.92775,0.92,0.86,0.8619,0.571,0.046,0.00002,4.72E-07,0,0.91851,0.01029,0.04062,0.01593,0.0124,0.00166,0.04639,0.08327,0.10755,0.118,0.624,0.28888,0.893331536
7,2.777683,101.751983,LANGAT,7/11/2012,2012,III,0.442,0.261,0.228,0,0.128,0.031,0.0047,0.004,0.003,0.00317,0.328,0,0,2.77E-08,0.005,0.00053,0.00029,0,0.01593,0.0124,0.00166,0.04639,0.19505,0.00304,0.019,0.009,0.00144,0.001091725
8,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.132,0.109,0.143,0.029,0.484,0.118,0.00506,0.004,0.003,0.00646,0.495,0.091,0.00002,6.60E-07,0.01,0.00111,0.03886,0.05537,0.01593,0.0124,0.00166,0.04639,0.08858,0.0056,0.185,0.014,0.00117,0.002560969
9,2.777683,101.751983,LANGAT,2/2/2012,2012,III,0.295,0.043,0.088,0.009,0.465,0.062,0.00288,0.002,0.002,0.00296,0.592,0.064,0.00002,0.000000766,0.009,0.00062,0.00943,0.02913,0.01593,0.0124,0.00166,0.04639,0.07455,0.00363,0.293,0.009,0.00074,0.001132365
10,2.3976,101.982366,LANGAT,14/3/2012,2012,III,0.218,0.109,0.119,0.031,0.458,0.041,0.00309,0.002,0.002,0.00551,0.295,0.102,0.00004,1.89E-06,0.005,0.00104,0.00886,0.03082,0.01593,0.0124,0.00582,0.04639,0.04351,0.0038,0.374,0.015,0.00483,0.001704363
11,2.3976,101.982366,LANGAT,9/4/2012,2012,III,0.178,0.109,0.1,0.046,0.555,0.065,0.00566,0.004,0.003,0.00773,0.501,0.125,0.00004,8.30E-07,0.011,0.00103,0.00314,0.03175,0.01593,0.0124,0.00166,0.04639,0.05647,0.00369,0.283,0.012,0.0009,0.001970521
12,2.481967,102.013,LANGAT,8/5/2012,2012,III,0.265,0.152,0.137,0.103,0.449,0.023,0.0023,0.002,0.002,0.01263,0.248,0.279,0.00007,1.24E-06,0.005,0.00034,0.02457,0.03296,0.01593,0.0124,0.00562,0.04639,0.09727,0.00237,0.298,0.006,0.00045,0.000887904
13,2.3976,101.982366,LANGAT,11/6/2012,2012,IV,0,0.5,0.41,0.012,0.511,0.051,0.00433,0.003,0.003,0.00419,0.572,0.07,0.00002,2.70E-07,0.021,0.00082,0.018,0.05369,0.01593,0.0124,0.00478,0.04639,0.08245,0.00433,0.237,0.012,0.00079,0.002252075
14,2.3976,101.982366,LANGAT,6/7/2012,2012,III,0.129,0.239,0.173,0.013,0.561,0.156,0.0059,0.004,0.005,0.00625,0.45,0.037,0,7.98E-07,0.009,0.00124,0.01057,0.03987,0.01593,0.0124,0.00166,0.04639,0.02715,0.0055,0.027,0.015,0.00109,0.002826011
15,2.3976,101.982366,LANGAT,6/8/2012,2012,III,0.175,0.065,0.1,0.004,0.564,0.117,0.00775,0.006,0.005,0.00531,0.482,0.054,0,8.40E-07,0.018,0.00211,0.00943,0.03763,0.01593,0.0124,0.00166,0.04639,0.0545,0.00457,0.087,0.018,0.00189,0.004150033
16,2.481967,102.013,LANGAT,5/9/2012,2012,III,0.347,0.109,0.131,0.06,0.578,0.005,0.00741,0.006,0.006,0.01226,0.345,0.089,0.00002,6.92E-07,0.012,0.00198,0.01971,0.04081,0.01593,0.0124,0.00166,0.04639,0.08472,0.00648,0.183,0.02,0.00456,0.00344691
17,2.481967,102.013,LANGAT,4/10/2012,2012,III,0.299,0.109,0.137,0.015,0.153,0.116,0.00759,0.005,0.005,0.00605,0.542,0.044,0,8.40E-07,0.009,0.00211,0.00943,0.03763,0.01593,0.0124,0.00166,0.04639,0.0545,0.00457,0.087,0.018,0.00189,0.004150033
18,2.3976,101.982366,LANGAT,7/11/2012,2012,III,0.401,0.087,0.088,0.016,0.463,0.027,0.0028,0.002,0.002,0.00337,0.374,0.05,0.00002,4.07E-07,0.007,0.00044,0.00029,0.0084,0.01593,0.0124,0.00603,0.04639,0.09493,0.00282,0.163,0.008,0.00071,0.001018428
19,2.481967,102.013,LANGAT,12/12/2012,2012,II,0.438,0.087,0.07,0.004,0.334,0.03,0.00316,0.002,0.002,0.00213,0.291,0.064,0.00005,0.000000466,0.007,0.00052,0.02286,0.01466,0.01593,0.0124,0.00166,0.04639,0.18251,0.00312,0.095,0.009,0.00091,0.000954165
20,2.481967,102.013,LANGAT,9/1/2012,2012,II,0.479,0.022,0.021,0.014,0.55,0,0.00452,0.003,0.003,0.00461,0.47,0.038,0.00003,8.30E-07,0.009,0.00126,0.03429,0.0493,0.01593,0.0124,0.00166,0.04639,0.05333,0.00517,0.246,0.01,0.0006,0.002145382
