ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN
1,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.268,0.087,0.131,0.129,0.536,0.000
2,2.777683,101.751983,LANGAT,12/3/2012,2012,III,0.079,0.087,0.064,0.099,0.468,0.040
3,2.777683,101.751983,LANGAT,8/5/2012,2012,III,0.095,0.109,0.094,0.051,0.399,0.037
4,2.777683,101.751983,LANGAT,6/7/2012,2012,III,0.170,0.304,0.228,0.110,0.609,0.024
5,2.777683,101.751983,LANGAT,6/8/2012,2012,III,0.177,0.326,0.325,0.014,0.594,0.005
6,2.777633,101.752100,LANGAT,5/9/2012,2012,III,0.263,0.152,0.161,0.029,0.593,0.016
7,2.777683,101.751983,LANGAT,7/11/2012,2012,III,0.442,0.261,0.228,0.000,0.128,0.031
8,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.132,0.109,0.143,0.029,0.484,0.118
9,2.777683,101.751983,LANGAT,2/2/2012,2012,III,0.295,0.043,0.088,0.009,0.465,0.062
10,2.397600,101.982366,LANGAT,14/3/2012,2012,III,0.218,0.109,0.119,0.031,0.458,0.041
11,2.397600,101.982366,LANGAT,9/4/2012,2012,III,0.178,0.109,0.100,0.046,0.555,0.065
12,2.481967,102.013000,LANGAT,8/5/2012,2012,III,0.265,0.152,0.137,0.103,0.449,0.023
13,2.397600,101.982366,LANGAT,11/6/2012,2012,IV,0.000,0.500,0.410,0.012,0.511,0.051
14,2.397600,101.982366,LANGAT,6/7/2012,2012,III,0.129,0.239,0.173,0.013,0.561,0.156
15,2.397600,101.982366,LANGAT,6/8/2012,2012,III,0.175,0.065,0.100,0.004,0.564,0.117
16,2.481967,102.013000,LANGAT,5/9/2012,2012,III,0.347,0.109,0.131,0.060,0.578,0.005
17,2.481967,102.013000,LANGAT,4/10/2012,2012,III,0.299,0.109,0.137,0.015,0.153,0.116
18,2.397600,101.982366,LANGAT,7/11/2012,2012,III,0.401,0.087,0.088,0.016,0.463,0.027
19,2.481967,102.013000,LANGAT,12/12/2012,2012,II,0.438,0.087,0.070,0.004,0.334,0.030
20,2.481967,102.013000,LANGAT,9/1/2012,2012,II,0.479,0.022,0.021,0.014,0.550,0.000
21,2.481967,102.013000,LANGAT,2/2/2012,2012,II,0.599,0.043,0.015,0.026,0.531,0.094
22,2.580816,101.956950,LANGAT,14/3/2012,2012,II,0.426,0.087,0.076,0.009,0.534,0.053
23,2.580816,101.956950,LANGAT,5/4/2012,2012,II,0.444,0.022,0.015,0.060,0.520,0.044
24,2.580816,101.956950,LANGAT,8/5/2012,2012,II,0.500,0.022,0.046,0.036,0.507,0.031
25,2.580816,101.956950,LANGAT,11/6/2012,2012,II,0.350,0.043,0.033,0.012,0.516,0.001
26,2.651733,101 55 501,LANGAT,6/7/2012,2012,III,0.458,0.087,0.088,0.053,0.582,0.154
27,2.580816,101.956950,LANGAT,5/9/2012,2012,III,0.261,0.109,0.137,0.134,0.550,0.060
28,2.651733,101 55 501,LANGAT,3/10/2012,2012,III,0.468,0.065,0.058,0.029,0.598,0.091
29,2.651733,101 55 501,LANGAT,7/11/2012,2012,III,0.500,0.174,0.179,0.058,0.490,0.034
30,2.651733,101 55 501,LANGAT,12/12/2012,2012,II,0.608,0.087,0.076,0.004,0.525,0.034
31,2.651733,101 55 501,LANGAT,9/1/2012,2012,III,0.413,0.109,0.204,0.042,0.562,0.003
