ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TEMP,TUR,E-coli,Coliform
1,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.268,0.087,0.131,0.129,0.536,0,0.79059,0.771,0.77351,0.597,0.128,0.00003,6.596E-07
2,2.777683,101.751983,LANGAT,12/3/2012,2012,III,0.079,0.087,0.064,0.099,0.468,0.04,0.18789,0.163,0.15212,0.417,0.199,0.00003,2.0638E-06
3,2.777683,101.751983,LANGAT,8/5/2012,2012,III,0.095,0.109,0.094,0.051,0.399,0.037,0.11314,0.095,0.13894,0.419,0.174,0.00001,1.245E-07
4,2.777683,101.751983,LANGAT,6/7/2012,2012,III,0.17,0.304,0.228,0.11,0.609,0.024,0.90471,0.895,0.86411,0.546,0.087,0.00101,1.51064E-05
5,2.777683,101.751983,LANGAT,6/8/2012,2012,III,0.177,0.326,0.325,0.014,0.594,0.005,1,1,1,0.556,0.048,0,3.681E-07
6,2.777633,101.7521,LANGAT,5/9/2012,2012,III,0.263,0.152,0.161,0.029,0.593,0.016,0.92775,0.92,0.85999,0.571,0.046,0.00002,4.723E-07
7,2.777683,101.751983,LANGAT,7/11/2012,2012,III,0.442,0.261,0.228,0,0.128,0.031,0.0047,0.004,0.00342,0.328,0,0,2.77E-08
8,2.777683,101.751983,LANGAT,10/1/2012,2012,III,0.132,0.109,0.143,0.029,0.484,0.118,0.00506,0.004,0.00346,0.495,0.091,0.00002,6.596E-07
9,2.777683,101.751983,LANGAT,2/2/2012,2012,III,0.295,0.043,0.088,0.009,0.465,0.062,0.00288,0.002,0.00218,0.592,0.064,0.00002,0.000000766
10,2.3976,101.982366,LANGAT,14/3/2012,2012,III,0.218,0.109,0.119,0.031,0.458,0.041,0.00309,0.002,0.00235,0.295,0.102,0.00004,1.8936E-06
11,2.3976,101.982366,LANGAT,9/4/2012,2012,III,0.178,0.109,0.1,0.046,0.555,0.065,0.00566,0.004,0.00284,0.501,0.125,0.00004,8.298E-07
12,2.481967,102.013,LANGAT,8/5/2012,2012,III,0.265,0.152,0.137,0.103,0.449,0.023,0.0023,0.002,0.00152,0.248,0.279,0.00007,1.2447E-06
13,2.3976,101.982366,LANGAT,11/6/2012,2012,IV,0,0.5,0.41,0.012,0.511,0.051,0.00433,0.003,0.00317,0.572,0.07,0.00002,2.702E-07
14,2.3976,101.982366,LANGAT,6/7/2012,2012,III,0.129,0.239,0.173,0.013,0.561,0.156,0.0059,0.004,0.00507,0.45,0.037,0,7.979E-07
15,2.3976,101.982366,LANGAT,6/8/2012,2012,III,0.175,0.065,0.1,0.004,0.564,0.117,0.00775,0.006,0.00511,0.482,0.054,0,8.404E-07
16,2.481967,102.013,LANGAT,5/9/2012,2012,III,0.347,0.109,0.131,0.06,0.578,0.005,0.00741,0.006,0.00585,0.345,0.089,0.00002,6.915E-07
17,2.481967,102.013,LANGAT,4/10/2012,2012,III,0.299,0.109,0.137,0.015,0.153,0.116,0.00759,0.005,0.00469,0.542,0.044,0,8.404E-07
18,2.3976,101.982366,LANGAT,7/11/2012,2012,III,0.401,0.087,0.088,0.016,0.463,0.027,0.0028,0.002,0.00181,0.374,0.05,0.00002,4.074E-07
19,2.481967,102.013,LANGAT,12/12/2012,2012,II,0.438,0.087,0.07,0.004,0.334,0.03,0.00316,0.002,0.00193,0.291,0.064,0.00005,0.000000466
20,2.481967,102.013,LANGAT,9/1/2012,2012,II,0.479,0.022,0.021,0.014,0.55,0,0.00452,0.003,0.00329,0.47,0.038,0.00003,8.298E-07
21,2.481967,102.013,LANGAT,2/2/2012,2012,II,0.599,0.043,0.015,0.026,0.531,0.094,0.00311,0.002,0.00259,0.457,0.053,0.00008,1.8298E-06
22,2.580816,101.95695,LANGAT,14/3/2012,2012,II,0.426,0.087,0.076,0.009,0.534,0.053,0.00293,0.002,0.00226,0.299,0.074,0.00009,3.1277E-06
23,2.580816,101.95695,LANGAT,5/4/2012,2012,II,0.444,0.022,0.015,0.06,0.52,0.044,0.00277,0.002,0.00165,0.466,0.126,0.00071,2.6809E-06
24,2.580816,101.95695,LANGAT,8/5/2012,2012,II,0.5,0.022,0.046,0.036,0.507,0.031,0.0022,0.002,0.00148,0.307,0.112,0.00027,2.7553E-06
25,2.580816,101.95695,LANGAT,11/6/2012,2012,II,0.35,0.043,0.033,0.012,0.516,0.001,0.00423,0.003,0.00309,0.555,0.035,0.00008,2.08511E-05
26,2.651733,101 55 501,LANGAT,6/7/2012,2012,III,0.458,0.087,0.088,0.053,0.582,0.154,0.0066,0.005,0.00642,0.46,0.056,0.00003,1.6702E-06
27,2.580816,101.95695,LANGAT,5/9/2012,2012,III,0.261,0.109,0.137,0.134,0.55,0.06,0.00269,0.002,0.0021,0.226,0.261,0.00036,7.6596E-06
28,2.651733,101 55 501,LANGAT,3/10/2012,2012,III,0.468,0.065,0.058,0.029,0.598,0.091,0.00441,0.003,0.00309,0.541,0.056,0.00001,1.511E-07
29,2.651733,101 55 501,LANGAT,7/11/2012,2012,III,0.5,0.174,0.179,0.058,0.49,0.034,0.00228,0.002,0.00156,0.306,0.133,0.0001,2.4894E-06
30,2.651733,101 55 501,LANGAT,12/12/2012,2012,II,0.608,0.087,0.076,0.004,0.525,0.034,0.00225,0.002,0.00128,0.293,0.064,0.00015,1.07447E-05
31,2.651733,101 55 501,LANGAT,9/1/2012,2012,III,0.413,0.109,0.204,0.042,0.562,0.003,0.00444,0.003,0.00305,0.407,0.083,0.00161,3.6383E-06
32,2.590666,101.96595,LANGAT,4/2/2012,2012,III,0.366,0.239,0.222,0.001,0.555,0.134,0.0047,0.004,0.00383,0.273,0.064,0.00046,5.3191E-06
33,2.651733,101 55 501,LANGAT,14/3/2012,2012,II,0.561,0.065,0.064,0.034,0.564,0.061,0.00275,0.002,0.0014,0.2,0.058,0.00001,2.606E-07
34,2.710183,101.952766,LANGAT,5/4/2012,2012,II,0.625,0.087,0.07,0.042,0.55,0.064,0.00277,0.002,0.00181,0.375,0.295,0.00164,9.6809E-06
35,2.710183,101.952766,LANGAT,8/5/2012,2012,II,0.537,0.043,0.058,0.035,0.525,0.051,0.00264,0.002,0.00247,0.365,0.092,0.00062,2.1489E-06
36,2.710183,101.952766,LANGAT,12/6/2012,2012,III,0.256,0.217,0.131,0.046,0.52,0.173,0.00499,0.004,0.00362,0.465,0.085,0.00108,7.6596E-06
37,2.710183,101.952766,LANGAT,5/7/2012,2012,III,0.452,0.304,0.246,0.043,0.557,0.138,0.00358,0.003,0.00251,0.412,0.057,0.00015,4.1383E-06
38,2.710183,101.952766,LANGAT,2/8/2012,2012,IV,0.202,0.413,0.404,0.088,0.546,0.268,0.00624,0.004,0.00494,0.334,0.102,0.00485,2.08511E-05
39,2.710183,101.952766,LANGAT,5/9/2012,2012,III,0.355,0.261,0.264,0.066,0.554,0.096,0.00475,0.004,0.00362,0.335,0.088,0.00185,1.03191E-05
40,2.693866,101.93366,LANGAT,3/10/2012,2012,III,0.352,0.217,0.216,0.086,0.626,0.143,0.0054,0.004,0.00362,0.475,0.119,0.0001,7.766E-07
41,2.693866,101.93366,LANGAT,7/11/2012,2012,II,0.568,0.087,0.07,0.067,0.561,0.047,0.00272,0.002,0.00165,0.335,0.064,0.00103,6.8085E-06
42,2.693866,101.93366,LANGAT,12/12/2012,2012,III,0.65,0.196,0.191,0.026,0.575,0.04,0.00228,0.002,0.0013,0.214,0.078,0.00027,2.7234E-06
43,2.693866,101.93366,LANGAT,9/1/2012,2012,I,0.756,0.022,0.021,0,0.621,0.01,0.00103,0.001,0.00037,0.262,0,0.00005,8.085E-07
44,2.693866,101.93366,LANGAT,13/3/2012,2012,I,0.64,0.022,0.04,0.003,0.562,0.002,0.00095,0.001,0.00025,0.323,0.005,0.00006,1.9043E-06
45,2.693866,101.93366,LANGAT,3/5/2012,2012,II,0.722,0.152,0.143,0.009,0.546,0,0.00082,0,0.00016,0.377,0.018,0.00011,9.681E-07
46,2.463083,102.0554,LANGAT,5/7/2012,2012,II,0.723,0.043,0.07,0,0.61,0.006,0.00095,0.001,0.00033,0.288,0.001,0.00027,2.0851E-06
47,2.463083,102.0554,LANGAT,3/9/2012,2012,I,0.719,0.022,0.015,0,0.646,0,0.00103,0.001,0.00033,0.342,0.005,0.00003,8.511E-07
